ASPM : Airport Efficiency : Daily Configuration By Hour Report,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
From 5/1/2019 To 9/30/2019 ; Airport=IAD,,,,,,,,,,,,,,,,,,,,,,,,
Airport,Scheduled,Local,Scheduled,Scheduled,Actual,Actual,Actual,ADR+,Runway,Approach,Average,Average,Temp,Wind,Wind,Ceiling,Visibility,Airport,Airport,,,,,
,Departure,Hour,Departures,Arrivals,Departures,Arrivals,Total,Cap,Configuration,Condition,Taxi Out,Taxi In,(F),Dir,Speed,(100ft),(Stat,Weather,Weather,,,,,
IAD,5/3/2019,22,45,4,16,10,26,120,"1C, 1R | 1R, 30",VAC,19.59,9.25,64,60,8,100,10,-RA,Moderate,,,,,
IAD,5/3/2019,23,1,5,38,13,51,120,"1C, 1R | 1R, 30",IAC,15,6.83,64,0,0,7,10,,None,,,,,
IAD,5/4/2019,0,0,4,7,8,15,120,"1C, 1R | 1R, 30",IAC,0,5.63,62,0,0,7,10,,None,,,,,
IAD,5/4/2019,1,0,0,1,2,3,120,"1C, 1R | 1R, 30",IAC,12,0,62,0,0,220,6,BR,Moderate,,,,,
IAD,5/4/2019,2,0,1,1,1,2,120,"1C, 1R | 1R, 30",IAC,12,5,62,0,0,220,6,BR,Moderate,,,,,
IAD,5/4/2019,3,0,0,0,0,0,120,"1C, 1R | 1R, 30",VAC,0,0,62,20,3,110,7,,None,,,,,
IAD,5/4/2019,4,1,0,1,3,4,120,"1C, 1R | 1R, 30",IAC,12,5,62,20,5,3,0.5,BR,Moderate,,,,,
IAD,5/4/2019,5,2,3,1,4,5,120,"1C, 1R | 1R, 30",IAC,24,5.5,62,20,5,3,0.5,BR,Moderate,,,,,
IAD,5/4/2019,6,8,5,8,11,19,124,"1C, 1R | 1R, 30",IAC,15.63,5,62,40,5,4,1,BR,Moderate,,,,,
IAD,5/4/2019,7,5,33,7,30,37,124,"1C, 1R | 1R, 30",IAC,15.78,5.72,64,20,3,4,1,BR,Moderate,,,,,
IAD,5/4/2019,8,54,2,54,5,59,124,"1C, 1R | 1R, 30",IAC,19.53,5,64,340,4,6,2,BR,Moderate,,,,,
IAD,5/4/2019,9,6,1,16,6,22,124,"1C, 1R | 1R, 30",IAC,14.67,5,66,320,4,6,2,BR,Moderate,,,,,
IAD,5/4/2019,10,4,5,6,13,19,124,"1C, 1R | 1R, 30",IAC,20.2,5.13,66,VRB,4,8,2.5,BR,Moderate,,,,,
IAD,5/4/2019,11,3,51,9,40,49,124,"1C, 1R | 1R, 30",IAC,15.75,5.88,69,350,5,12,8,,None,,,,,
IAD,5/4/2019,12,52,5,27,21,48,134,"1C, 1R | 1R, 30",IAC,22.15,6.5,73,20,6,19,10,,None,,,,,
IAD,5/4/2019,13,12,6,36,14,50,136,"19C, 19L | 30",IAC,18.07,6.14,73,VRB,3,21,10,,None,,,,,
IAD,5/4/2019,14,3,14,11,20,31,136,"19C, 19L | 30",IAC,15.17,4.69,75,30,3,27,10,,None,,,,,
IAD,5/4/2019,15,5,36,8,42,50,136,"1C, 1R | 30",VAC,14.88,6.12,73,80,4,65,10,,None,,,,,
IAD,5/4/2019,16,7,55,12,47,59,136,"1C, 1R | 30",VAC,15,6.69,73,100,6,65,10,,None,,,,,
IAD,5/4/2019,17,83,2,53,10,63,136,"1C, 1R | 30",VAC,25.59,5.67,73,100,6,65,10,,None,,,,,
IAD,5/4/2019,18,9,9,44,12,56,136,"1C, 1R | 30",VAC,18.5,6.73,73,0,0,65,10,,None,,,,,
IAD,5/4/2019,19,7,10,10,14,24,136,"1C, 1R | 30",VAC,17.25,6.67,69,0,0,65,10,-RA,Moderate,,,,,
IAD,5/4/2019,20,3,18,7,40,47,136,"1C, 1R | 30",VAC,18,5.95,68,0,0,49,10,,None,,,,,
IAD,5/4/2019,21,1,37,3,13,16,121,"19C, 19L, 19R | 30",IAC,15,5.91,68,30,4,55,5,TSRA BR,Severe,,,,,
IAD,5/4/2019,22,41,4,42,9,51,116,"19C, 19L, 19R | 30",IAC,19.4,5.8,66,90,3,13,3,RA BR,Moderate,,,,,
IAD,5/4/2019,23,1,4,2,6,8,116,"19C, 19L, 19R | 30",IAC,12,5.8,66,0,0,13,2,+RA BR,Severe,,,,,
IAD,5/5/2019,0,0,6,3,6,9,116,"19C, 19L, 19R | 30",IAC,0,6.6,66,110,5,8,5,-RA BR,Moderate,,,,,
IAD,5/5/2019,1,1,0,2,1,3,116,"19C, 19L, 19R | 30",IAC,13.5,0,66,110,4,8,5,BR,Moderate,,,,,
IAD,5/5/2019,2,1,1,0,2,2,116,"19C, 19L, 19R | 30",IAC,22,6,64,20,4,6,7,,None,,,,,
IAD,5/5/2019,3,0,0,1,0,1,116,"19C, 19L, 19R | 30",IAC,0,0,64,20,4,6,7,,None,,,,,
IAD,5/5/2019,4,1,0,2,2,4,116,"19C, 19L, 19R | 30",IAC,11,0,64,40,5,6,8,-RA,Moderate,,,,,
IAD,5/5/2019,5,2,4,2,1,3,116,"19C, 19L, 19R | 30",IAC,12,5,64,60,3,6,3,-RA BR,Moderate,,,,,
IAD,5/5/2019,6,6,5,6,13,19,128,"1C, 1R | 1R, 30",IAC,14.17,5.67,64,100,3,5,2.5,-RA BR,Moderate,,,,,
IAD,5/5/2019,7,5,34,7,26,33,128,"1C, 1R | 1R, 30",IAC,12.8,6.38,64,100,3,5,2.5,-RA BR,Moderate,,,,,
IAD,5/5/2019,8,57,2,53,3,56,128,"1C, 1R | 1R, 30",IAC,21.98,5.75,64,100,3,6,3,-RA BR,Moderate,,,,,
IAD,5/5/2019,9,7,1,19,4,23,128,"1C, 1R | 1R, 30",IAC,17.09,5,66,90,6,6,3,-RA BR,Moderate,,,,,
IAD,5/5/2019,10,4,5,7,16,23,128,"1C, 1R | 1R, 30",IAC,22,5.29,64,90,8,6,2.5,-RA BR,Moderate,,,,,
IAD,5/5/2019,11,5,60,8,51,59,128,"1C, 1R | 1R, 30",IAC,21,6.28,64,70,6,6,1.75,RA BR,Moderate,,,,,
IAD,5/5/2019,12,57,4,31,22,53,114,"19C, 19L, 19R | 19L, 30",IAC,24.08,6.88,64,80,6,6,3,-RA BR,Moderate,,,,,
IAD,5/5/2019,13,11,8,46,12,58,109,"19C, 19L, 19R | 19L, 30",IAC,21.77,8.93,62,30,9,7,2.5,RA BR,Moderate,,,,,
IAD,5/5/2019,14,4,15,14,29,43,109,"1C, 1R | 30",IAC,24.44,5.45,60,50,10,8,4,RA BR,Moderate,,,,,
IAD,5/5/2019,15,8,38,14,49,63,109,"1C, 1R | 30",IAC,22.36,5.88,60,50,10,8,4,RA BR,Moderate,,,,,
IAD,5/5/2019,16,9,61,18,61,79,109,"1C, 1R | 30",IAC,16.91,6.71,60,20,13,16,4,-RA BR,Moderate,,,,,
IAD,5/5/2019,17,86,3,60,22,82,109,"1C, 1R | 30",IAC,22.08,5.45,60,20,11,26,10,,None,,,,,
IAD,5/5/2019,18,11,10,44,14,58,109,"1C, 1R | 30",IAC,18.75,4.75,60,20,11,26,10,,None,,,,,
IAD,5/5/2019,19,12,12,17,18,35,110,"1C, 1R | 30",IAC,15.86,6,59,360,8,18,10,,None,,,,,
IAD,5/5/2019,20,5,23,9,38,47,113,"1C, 1R | 30",IAC,15.83,6.73,59,360,8,18,10,,None,,,,,
IAD,5/5/2019,21,1,40,9,33,42,113,"1C, 1R | 30",IAC,21,6.55,59,350,7,20,10,,None,,,,,
IAD,5/5/2019,22,47,4,44,12,56,113,"1C, 1R | 30",IAC,20.31,7.4,59,350,7,20,10,,None,,,,,
IAD,5/5/2019,23,1,6,7,9,16,113,"1C, 1R | 30",VAC,16.5,4.43,57,10,6,110,10,,None,,,,,
IAD,5/6/2019,0,0,7,2,7,9,113,"1C, 1R | 30",IAC,0,5.17,57,330,5,27,10,,None,,,,,
IAD,5/6/2019,1,0,0,0,1,1,113,"1C, 1R | 30",IAC,0,5,59,350,7,26,10,,None,,,,,
IAD,5/6/2019,2,0,0,0,3,3,113,"1C, 1R | 30",IAC,0,0,59,350,7,26,10,,None,,,,,
IAD,5/6/2019,3,0,0,1,1,2,113,"1C, 1R | 30",IAC,15,14,57,350,8,23,10,,None,,,,,
IAD,5/6/2019,4,1,0,1,1,2,113,"1C, 1R | 30",VAC,12,0,57,10,4,41,10,,None,,,,,
IAD,5/6/2019,5,2,5,3,3,6,116,"1C, 1R | 1R, 30",VAC,11.67,3.5,57,360,5,40,10,,None,,,,,
IAD,5/6/2019,6,9,6,13,12,25,116,"1C, 1R | 1R, 30",VAC,15.7,6.17,57,360,5,40,10,,None,,,,,
IAD,5/6/2019,7,6,36,6,26,32,116,"1C, 1R | 1R, 30",VAC,15.88,5.61,59,0,0,45,10,,None,,,,,
IAD,5/6/2019,8,58,2,50,11,61,116,"1C, 1R | 1R, 30",IAC,17.68,5,64,360,3,25,10,,None,,,,,
IAD,5/6/2019,9,8,3,22,14,36,116,"1C, 1R | 1R, 30",IAC,14.8,4.88,64,360,3,25,10,,None,,,,,
IAD,5/6/2019,10,4,7,7,28,35,116,"1C, 1R | 1R, 30",VAC,16.75,4.17,66,320,9,33,10,,None,,,,,
IAD,5/6/2019,11,6,56,15,55,70,116,"1C, 1R | 1R, 30",VAC,17.63,5.52,69,320,8,33,10,,None,,,,,
IAD,5/6/2019,12,56,5,42,10,52,116,"1C, 1R | 1R, 30",VAC,21.02,4.91,71,VRB,3,50,10,,None,,,,,
IAD,5/6/2019,13,10,6,35,16,51,116,"1C, 1R | 1R, 30",VAC,21.14,5.57,73,330,8,50,10,,None,,,,,
IAD,5/6/2019,14,3,16,9,29,38,143,"1C, 1L, 1R | 30",VAC,15.43,4.71,73,280,5,70,10,,None,,,,,
IAD,5/6/2019,15,9,37,24,60,84,143,"1C, 1L, 1R | 30",VAC,17.19,5.9,73,280,5,70,10,,None,,,,,
IAD,5/6/2019,16,9,59,15,45,60,143,"1C, 1L, 1R | 30",VAC,16.08,6.44,75,VRB,3,999,10,,None,,,,,
IAD,5/6/2019,17,85,5,75,15,90,143,"1C, 1L, 1R | 30",VAC,22.59,6.63,75,280,5,999,10,,None,,,,,
IAD,5/6/2019,18,12,11,39,16,55,143,"1C, 1L, 1R | 30",VAC,16,5.46,75,320,4,999,10,,None,,,,,
IAD,5/6/2019,19,13,11,13,18,31,143,"1C, 1L, 1R | 30",VAC,17.33,6.67,69,0,0,999,10,,None,,,,,
IAD,5/6/2019,20,5,23,9,35,44,143,"1C, 1L, 1R | 30",VAC,19.25,5.2,64,0,0,999,10,,None,,,,,
IAD,5/6/2019,21,1,39,7,28,35,143,"1C, 1L, 1R | 30",VAC,23.67,5.67,60,170,4,999,10,,None,,,,,
IAD,5/6/2019,22,44,4,51,7,58,143,"1C, 1L, 1R | 30",VAC,17.55,4.8,60,190,5,999,10,,None,,,,,
IAD,5/6/2019,23,1,6,5,9,14,143,"1C, 1L, 1R | 30",VAC,13.33,5.78,60,180,4,999,10,,None,,,,,
IAD,5/7/2019,0,0,5,1,6,7,143,"1C, 1L, 1R | 30",VAC,0,6.33,59,150,3,999,10,,None,,,,,
IAD,5/7/2019,1,1,0,3,2,5,143,"1C, 1L, 1R | 30",VAC,13.5,0,57,160,5,999,10,,None,,,,,
IAD,5/7/2019,2,1,1,1,1,2,143,"1C, 1L, 1R | 30",VAC,20.5,0,59,180,4,999,10,,None,,,,,
IAD,5/7/2019,3,0,0,1,0,1,143,"1C, 1L, 1R | 30",VAC,0,5,57,180,4,999,10,,None,,,,,
IAD,5/7/2019,4,0,0,0,4,4,143,"1C, 1L, 1R | 30",VAC,0,5,57,170,3,999,10,,None,,,,,
IAD,5/7/2019,5,2,3,1,6,7,143,"1C, 1L, 1R | 30",VAC,12.5,4.6,57,0,0,999,10,MIFG,Moderate,,,,,
IAD,5/7/2019,6,9,6,11,14,25,144,"1C, 1L, 1R | 1R, 30",VAC,14.22,6.33,57,160,3,999,10,,None,,,,,
IAD,5/7/2019,7,7,36,16,29,45,144,"1C, 1L, 1R | 1R, 30",VAC,15.33,6.11,62,230,3,999,10,,None,,,,,
IAD,5/7/2019,8,56,2,48,8,56,141,"19C, 19L, 19R | 19L, 30",VAC,18.26,6,64,180,3,999,10,,None,,,,,
IAD,5/7/2019,9,8,4,20,9,29,140,"19C, 19L, 19R | 19L, 30",VAC,13.4,5,69,180,3,999,10,,None,,,,,
IAD,5/7/2019,10,5,6,11,32,43,140,"19C, 19L, 19R | 19L, 30",VAC,16.14,5.93,73,190,3,999,10,,None,,,,,
IAD,5/7/2019,11,5,55,11,45,56,140,"19C, 19L, 19R | 19L, 30",VAC,14,5.77,77,220,10,250,10,,None,,,,,
IAD,5/7/2019,12,56,5,41,11,52,140,"19C, 19L, 19R | 19L, 30",VAC,20.08,8.63,77,220,10,250,10,,None,,,,,
IAD,5/7/2019,13,11,6,41,23,64,140,"19C, 19L, 19R | 19L, 30",VAC,16.17,5.77,78,190,7,250,10,,None,,,,,
IAD,5/7/2019,14,4,16,17,37,54,140,"19C, 19L, 19R | 19L, 30",VAC,12.78,5.42,80,220,9,250,10,,None,,,,,
IAD,5/7/2019,15,9,38,21,53,74,140,"19C, 19L, 19R | 19L, 30",VAC,18.91,5.82,78,190,3,250,10,,None,,,,,
IAD,5/7/2019,16,8,59,21,55,76,140,"19C, 19L, 19R | 19L, 30",VAC,14.57,6.59,78,190,3,250,10,,None,,,,,
IAD,5/7/2019,17,86,3,68,17,85,140,"19C, 19L, 19R | 19L, 30",VAC,22.66,4.6,77,190,10,999,10,,None,,,,,
IAD,5/7/2019,18,11,11,42,11,53,140,"19C, 19L, 19R | 19L, 30",VAC,22.54,5.24,71,190,4,250,10,,None,,,,,
IAD,5/7/2019,19,11,9,11,24,35,140,"19C, 19L, 19R | 19L, 30",VAC,20.42,6.27,71,190,4,250,10,,None,,,,,
IAD,5/7/2019,20,3,20,15,32,47,140,"19C, 19L, 19R | 19L, 30",VAC,15.4,5.45,69,190,6,999,10,,None,,,,,
IAD,5/7/2019,21,1,39,2,27,29,140,"19C, 19L, 19R | 19L, 30",VAC,25.8,5.4,68,170,6,250,10,,None,,,,,
IAD,5/7/2019,22,41,4,43,12,55,140,"19C, 19L, 19R | 19L, 30",VAC,18.5,7,68,190,6,150,10,,None,,,,,
IAD,5/7/2019,23,1,5,11,13,24,140,"19C, 19L, 19R | 19L, 30",VAC,22.38,5.5,68,180,6,130,10,,None,,,,,
IAD,5/8/2019,0,0,7,10,5,15,140,"19C, 19L, 19R | 19L, 30",VAC,74,5,68,180,6,130,10,,None,,,,,
IAD,5/8/2019,1,1,0,3,5,8,140,"19C, 19L, 19R | 19L, 30",VAC,24.5,0,66,180,6,150,10,,None,,,,,
IAD,5/8/2019,2,0,1,2,3,5,140,"19C, 19L, 19R | 19L, 30",VAC,12,5,64,180,4,250,10,,None,,,,,
IAD,5/8/2019,3,0,0,0,1,1,140,"19C, 19L, 19R | 19L, 30",VAC,0,4.5,64,330,3,250,10,,None,,,,,
IAD,5/8/2019,4,1,0,1,2,3,140,"19C, 19L, 19R | 19L, 30",VAC,12,5,60,50,3,999,10,,None,,,,,
IAD,5/8/2019,5,2,4,2,8,10,134,"19C, 19L | 19L, 30",VAC,16.67,4.86,60,30,8,250,9,,None,,,,,
IAD,5/8/2019,6,9,5,13,11,24,116,"19C, 19L | 19L, 30",IAC,16.4,4.13,62,10,7,8,3,BR,Moderate,,,,,
IAD,5/8/2019,7,6,35,11,29,40,113,"1C, 1R | 1R, 30",IAC,18.54,5.69,62,360,7,8,3,HZ,Minor,,,,,
IAD,5/8/2019,8,56,2,52,9,61,112,"1C, 1R | 1R, 30",IAC,18.69,5,64,10,7,10,3,HZ,Minor,,,,,
IAD,5/8/2019,9,8,4,19,12,31,112,"1C, 1R | 1R, 30",IAC,19,5.57,64,360,8,12,3,HZ,Minor,,,,,
